Sub_ID,Student_ID,Country,Age_Group,Education_Level,Plan_Type,Plan_Price_USD,Sub_Start_Date,Sub_End_Date,Sub_Start_Month,Sub_Start_Year,Churned,Churn_Reason,Churn_Date,Days_Active,Renewal_Number,Revenue_USD
SUB_00016,STU_00011,United States,18-22,Undergraduate,Quarterly,19.99,2023-03-16,2023-06-14,2023-03,2023,No,,,90,2,19.99
SUB_00017,STU_00011,United States,18-22,Undergraduate,Quarterly,19.99,2023-06-14,2023-07-27,2023-06,2023,Yes,Found Better Alternative,2023-07-27,43,3,9.55
SUB_00018,STU_00012,United States,23-27,PhD,Annual,59.99,2024-05-08,2025-04-11,2024-05,2024,Yes,Found Better Alternative,2025-04-11,338,1,55.55
SUB_00019,STU_00013,United Kingdom,18-22,Undergraduate,Monthly,9.99,2022-07-24,2022-08-23,2022-07,2022,No,,,30,1,9.99
SUB_00020,STU_00014,India,23-27,Undergraduate,Monthly,9.99,2024-06-14,2024-06-21,2024-06,2024,Yes,Found Better Alternative,2024-06-21,7,1,2.33
SUB_00021,STU_00015,India,23-27,Postgraduate,Monthly,9.99,2023-03-01,2023-03-31,2023-03,2023,No,,,30,1,9.99
SUB_00022,STU_00017,Canada,18-22,Undergraduate,Monthly,9.99,2022-08-01,2022-08-31,2022-08,2022,No,,,30,1,9.99
SUB_00023,STU_00018,India,28+,Postgraduate,Monthly,9.99,2023-07-01,2023-07-31,2023-07,2023,No,,,30,1,9.99
SUB_00024,STU_00018,India,28+,Postgraduate,Monthly,9.99,2023-07-31,2023-08-30,2023-07,2023,No,,,30,2,9.99
SUB_00025,STU_00018,India,28+,Postgraduate,Monthly,9.99,2023-08-30,2023-09-11,2023-08,2023,Yes,Found Better Alternative,2023-09-11,12,3,4.0
SUB_00026,STU_00020,India,18-22,Undergraduate,Monthly,9.99,2023-06-08,2023-06-14,2023-06,2023,Yes,Exam Season Over,2023-06-14,6,1,2.0
SUB_00027,STU_00021,Others,23-27,Postgraduate,Monthly,9.99,2023-03-07,2023-04-06,2023-03,2023,No,,,30,1,9.99
SUB_00028,STU_00022,United States,18-22,Undergraduate,Quarterly,19.99,2024-03-22,2024-05-05,2024-03,2024,Yes,Found Better Alternative,2024-05-05,44,1,9.77
SUB_00029,STU_00023,Australia,23-27,Undergraduate,Annual,59.99,2023-12-08,2024-09-26,2023-12,2023,Yes,Found Better Alternative,2024-09-26,293,1,48.16
SUB_00030,STU_00024,India,18-22,Postgraduate,Annual,59.99,2023-04-27,2024-04-01,2023-04,2023,Yes,Found Better Alternative,2024-04-01,340,1,55.88
SUB_00031,STU_00025,Others,23-27,Undergraduate,Monthly,9.99,2022-08-28,2022-09-27,2022-08,2022,No,,,30,1,9.99
SUB_00032,STU_00025,Others,23-27,Undergraduate,Monthly,9.99,2022-09-27,2022-10-27,2022-09,2022,No,,,30,2,9.99
SUB_00033,STU_00025,Others,23-27,Undergraduate,Monthly,9.99,2022-10-27,2022-11-26,2022-10,2022,No,,,30,3,9.99
SUB_00034,STU_00026,India,28+,Undergraduate,Monthly,9.99,2022-12-10,2023-01-09,2022-12,2022,No,,,30,1,9.99
SUB_00035,STU_00026,India,28+,Undergraduate,Monthly,9.99,2023-01-09,2023-02-08,2023-01,2023,No,,,30,2,9.99
SUB_00036,STU_00026,India,28+,Undergraduate,Monthly,9.99,2023-02-08,2023-03-10,2023-02,2023,No,,,30,3,9.99
SUB_00037,STU_00026,India,28+,Undergraduate,Monthly,9.99,2023-03-10,2023-03-20,2023-03,2023,Yes,Price Too High,2023-03-20,10,4,3.33
SUB_00038,STU_00027,United States,23-27,Undergraduate,Monthly,9.99,2024-06-18,2024-07-11,2024-06,2024,Yes,Found Better Alternative,2024-07-11,23,1,7.66
SUB_00039,STU_00028,United States,18-22,Undergraduate,Monthly,9.99,2023-11-14,2023-11-23,2023-11,2023,Yes,Found Better Alternative,2023-11-23,9,1,3.0
SUB_00040,STU_00029,India,18-22,Postgraduate,Monthly,9.99,2024-02-22,2024-03-23,2024-02,2024,No,,,30,1,9.99
SUB_00041,STU_00029,India,18-22,Postgraduate,Monthly,9.99,2024-03-23,2024-03-29,2024-03,2024,Yes,Found Better Alternative,2024-03-29,6,2,2.0
SUB_00042,STU_00030,India,18-22,Postgraduate,Quarterly,19.99,2023-05-19,2023-08-17,2023-05,2023,No,,,90,1,19.99
SUB_00043,STU_00030,India,18-22,Postgraduate,Quarterly,19.99,2023-08-17,2023-10-10,2023-08,2023,Yes,Not Useful Anymore,2023-10-10,54,2,11.99
SUB_00044,STU_00031,United States,18-22,Undergraduate,Monthly,9.99,2024-02-01,2024-02-17,2024-02,2024,Yes,Price Too High,2024-02-17,16,1,5.33
SUB_00045,STU_00032,India,18-22,Undergraduate,Monthly,9.99,2024-05-03,2024-05-07,2024-05,2024,Yes,Not Useful Anymore,2024-05-07,4,1,1.33
SUB_00046,STU_00033,India,18-22,Undergraduate,Annual,59.99,2024-03-24,2024-11-30,2024-03,2024,Yes,Found Better Alternative,2024-11-30,251,1,41.25
SUB_00047,STU_00036,Others,28+,PhD,Quarterly,19.99,2022-06-29,2022-09-27,2022-06,2022,No,,,90,1,19.99
SUB_00048,STU_00037,Canada,28+,Undergraduate,Quarterly,19.99,2023-01-29,2023-04-29,2023-01,2023,No,,,90,1,19.99
SUB_00049,STU_00037,Canada,28+,Undergraduate,Quarterly,19.99,2023-04-29,2023-07-28,2023-04,2023,No,,,90,2,19.99
SUB_00050,STU_00038,India,23-27,Postgraduate,Monthly,9.99,2023-09-11,2023-10-02,2023-09,2023,Yes,Found Better Alternative,2023-10-02,21,1,6.99
SUB_00051,STU_00039,India,18-22,Other,Monthly,9.99,2023-11-11,2023-11-19,2023-11,2023,Yes,Found Better Alternative,2023-11-19,8,1,2.66
SUB_00052,STU_00040,India,23-27,Postgraduate,Monthly,9.99,2023-05-16,2023-06-07,2023-05,2023,Yes,Price Too High,2023-06-07,22,1,7.33
SUB_00053,STU_00041,India,18-22,Postgraduate,Quarterly,19.99,2023-11-06,2024-02-04,2023-11,2023,No,,,90,1,19.99
SUB_00054,STU_00041,India,18-22,Postgraduate,Quarterly,19.99,2024-02-04,2024-03-18,2024-02,2024,Yes,Found Better Alternative,2024-03-18,43,2,9.55
SUB_00055,STU_00042,Australia,23-27,Postgraduate,Monthly,9.99,2022-10-23,2022-11-22,2022-10,2022,No,,,30,1,9.99
SUB_00056,STU_00042,Australia,23-27,Postgraduate,Monthly,9.99,2022-11-22,2022-12-14,2022-11,2022,Yes,Other,2022-12-14,22,2,7.33
SUB_00057,STU_00044,India,18-22,Postgraduate,Monthly,9.99,2023-02-07,2023-02-17,2023-02,2023,Yes,Found Better Alternative,2023-02-17,10,1,3.33
SUB_00058,STU_00045,India,23-27,Postgraduate,Monthly,9.99,2022-08-20,2022-09-19,2022-08,2022,No,,,30,1,9.99
SUB_00059,STU_00046,India,28+,PhD,Monthly,9.99,2023-11-27,2023-12-21,2023-11,2023,Yes,Price Too High,2023-12-21,24,1,7.99
SUB_00060,STU_00047,India,23-27,Undergraduate,Monthly,9.99,2022-11-18,2022-12-18,2022-11,2022,No,,,30,1,9.99
SUB_00061,STU_00047,India,23-27,Undergraduate,Monthly,9.99,2022-12-18,2023-01-17,2022-12,2022,No,,,30,2,9.99
SUB_00062,STU_00048,India,28+,Undergraduate,Quarterly,19.99,2023-12-17,2024-03-16,2023-12,2023,No,,,90,1,19.99
SUB_00063,STU_00048,India,28+,Undergraduate,Quarterly,19.99,2024-03-16,2024-03-25,2024-03,2024,Yes,Price Too High,2024-03-25,9,2,2.0
SUB_00064,STU_00050,United States,18-22,Postgraduate,Quarterly,19.99,2023-01-13,2023-04-13,2023-01,2023,No,,,90,1,19.99
SUB_00065,STU_00051,India,18-22,Undergraduate,Quarterly,19.99,2022-08-10,2022-11-08,2022-08,2022,No,,,90,1,19.99
SUB_00066,STU_00052,Others,18-22,Undergraduate,Monthly,9.99,2024-04-06,2024-04-13,2024-04,2024,Yes,Found Better Alternative,2024-04-13,7,1,2.33
SUB_00067,STU_00053,India,28+,Other,Quarterly,19.99,2022-10-05,2023-01-03,2022-10,2022,No,,,90,1,19.99
SUB_00068,STU_00053,India,28+,Other,Quarterly,19.99,2023-01-03,2023-04-03,2023-01,2023,No,,,90,2,19.99
SUB_00069,STU_00053,India,28+,Other,Quarterly,19.99,2023-04-03,2023-07-02,2023-04,2023,No,,,90,3,19.99
SUB_00070,STU_00054,United States,18-22,Undergraduate,Quarterly,19.99,2024-01-22,2024-04-21,2024-01,2024,No,,,90,1,19.99
SUB_00071,STU_00054,United States,18-22,Undergraduate,Quarterly,19.99,2024-04-21,2024-07-20,2024-04,2024,No,,,90,2,19.99
SUB_00072,STU_00055,Canada,18-22,Undergraduate,Annual,59.99,2022-08-10,2023-08-10,2022-08,2022,No,,,365,1,59.99
SUB_00073,STU_00055,Canada,18-22,Undergraduate,Annual,59.99,2023-08-10,2024-08-09,2023-08,2023,No,,,365,2,59.99
SUB_00074,STU_00056,Others,23-27,Other,Annual,59.99,2023-07-23,2024-07-22,2023-07,2023,No,,,365,1,59.99
SUB_00075,STU_00057,Canada,18-22,Postgraduate,Annual,59.99,2022-12-21,2023-12-21,2022-12,2022,No,,,365,1,59.99
SUB_00076,STU_00058,Canada,28+,Undergraduate,Monthly,9.99,2024-04-20,2024-05-07,2024-04,2024,Yes,Found Better Alternative,2024-05-07,17,1,5.66
SUB_00077,STU_00059,Canada,18-22,PhD,Monthly,9.99,2022-08-07,2022-09-06,2022-08,2022,No,,,30,1,9.99
SUB_00078,STU_00061,India,23-27,Postgraduate,Quarterly,19.99,2023-04-07,2023-07-06,2023-04,2023,No,,,90,1,19.99
SUB_00079,STU_00062,India,28+,Undergraduate,Monthly,9.99,2022-07-17,2022-08-16,2022-07,2022,No,,,30,1,9.99
SUB_00080,STU_00062,India,28+,Undergraduate,Monthly,9.99,2022-08-16,2022-09-15,2022-08,2022,No,,,30,2,9.99
SUB_00081,STU_00062,India,28+,Undergraduate,Monthly,9.99,2022-09-15,2022-10-15,2022-09,2022,No,,,30,3,9.99
SUB_00082,STU_00062,India,28+,Undergraduate,Monthly,9.99,2022-10-15,2022-11-06,2022-10,2022,Yes,Found Better Alternative,2022-11-06,22,4,7.33
SUB_00083,STU_00063,United States,18-22,Postgraduate,Monthly,9.99,2022-10-14,2022-11-04,2022-10,2022,Yes,Price Too High,2022-11-04,21,1,6.99
SUB_00084,STU_00064,India,23-27,Undergraduate,Monthly,9.99,2022-09-29,2022-10-29,2022-09,2022,No,,,30,1,9.99
SUB_00085,STU_00064,India,23-27,Undergraduate,Monthly,9.99,2022-10-29,2022-11-28,2022-10,2022,No,,,30,2,9.99
SUB_00086,STU_00064,India,23-27,Undergraduate,Monthly,9.99,2022-11-28,2022-12-28,2022-11,2022,No,,,30,3,9.99
SUB_00087,STU_00064,India,23-27,Undergraduate,Monthly,9.99,2022-12-28,2023-01-27,2022-12,2022,No,,,30,4,9.99
SUB_00088,STU_00064,India,23-27,Undergraduate,Monthly,9.99,2023-01-27,2023-02-26,2023-01,2023,No,,,30,5,9.99
SUB_00089,STU_00065,United States,28+,Postgraduate,Annual,59.99,2023-12-07,2024-12-06,2023-12,2023,No,,,365,1,59.99
SUB_00090,STU_00066,Australia,23-27,Postgraduate,Monthly,9.99,2024-04-15,2024-04-30,2024-04,2024,Yes,Not Useful Anymore,2024-04-30,15,1,5.0
SUB_00091,STU_00067,India,18-22,Undergraduate,Annual,59.99,2023-11-09,2024-11-08,2023-11,2023,No,,,365,1,59.99
SUB_00092,STU_00068,United States,18-22,Postgraduate,Monthly,9.99,2023-08-25,2023-09-03,2023-08,2023,Yes,Found Better Alternative,2023-09-03,9,1,3.0
SUB_00093,STU_00069,United States,18-22,Undergraduate,Monthly,9.99,2023-08-09,2023-09-08,2023-08,2023,No,,,30,1,9.99
SUB_00094,STU_00069,United States,18-22,Undergraduate,Monthly,9.99,2023-09-08,2023-10-06,2023-09,2023,Yes,Technical Issues,2023-10-06,28,2,9.32
SUB_00095,STU_00070,India,18-22,Postgraduate,Quarterly,19.99,2024-04-27,2024-07-26,2024-04,2024,No,,,90,1,19.99
SUB_00096,STU_00072,United States,18-22,Undergraduate,Annual,59.99,2023-02-18,2023-10-22,2023-02,2023,Yes,Not Useful Anymore,2023-10-22,246,1,40.43
SUB_00097,STU_00074,United States,23-27,Undergraduate,Quarterly,19.99,2024-06-19,2024-08-12,2024-06,2024,Yes,Price Too High,2024-08-12,54,1,11.99
SUB_00098,STU_00075,United Kingdom,18-22,PhD,Annual,59.99,2022-09-19,2023-09-19,2022-09,2022,No,,,365,1,59.99
SUB_00099,STU_00075,United Kingdom,18-22,PhD,Annual,59.99,2023-09-19,2024-09-12,2023-09,2023,Yes,Found Better Alternative,2024-09-12,359,2,59.0
SUB_00100,STU_00076,India,28+,Undergraduate,Annual,59.99,2023-12-25,2024-08-21,2023-12,2023,Yes,Not Useful Anymore,2024-08-21,240,1,39.45
SUB_00101,STU_00077,United States,28+,PhD,Quarterly,19.99,2024-01-14,2024-04-13,2024-01,2024,No,,,90,1,19.99
SUB_00102,STU_00078,India,28+,Undergraduate,Annual,59.99,2023-11-28,2024-11-27,2023-11,2023,No,,,365,1,59.99
SUB_00103,STU_00079,India,18-22,Postgraduate,Monthly,9.99,2023-09-28,2023-10-28,2023-09,2023,No,,,30,1,9.99
SUB_00104,STU_00079,India,18-22,Postgraduate,Monthly,9.99,2023-10-28,2023-11-24,2023-10,2023,Yes,Found Better Alternative,2023-11-24,27,2,8.99
SUB_00105,STU_00080,India,18-22,Postgraduate,Monthly,9.99,2024-03-24,2024-04-06,2024-03,2024,Yes,Found Better Alternative,2024-04-06,13,1,4.33
SUB_00106,STU_00081,India,18-22,Undergraduate,Monthly,9.99,2023-12-11,2023-12-27,2023-12,2023,Yes,Found Better Alternative,2023-12-27,16,1,5.33
SUB_00107,STU_00083,Australia,18-22,PhD,Annual,59.99,2024-02-16,2025-02-15,2024-02,2024,No,,,365,1,59.99
SUB_00108,STU_00084,India,18-22,PhD,Quarterly,19.99,2023-06-24,2023-09-22,2023-06,2023,No,,,90,1,19.99
SUB_00109,STU_00086,India,23-27,Postgraduate,Quarterly,19.99,2022-07-14,2022-10-12,2022-07,2022,No,,,90,1,19.99
SUB_00110,STU_00086,India,23-27,Postgraduate,Quarterly,19.99,2022-10-12,2023-01-10,2022-10,2022,No,,,90,2,19.99
SUB_00111,STU_00087,Others,23-27,Other,Monthly,9.99,2022-10-18,2022-11-17,2022-10,2022,No,,,30,1,9.99
SUB_00112,STU_00088,United States,18-22,Undergraduate,Annual,59.99,2022-09-07,2023-09-07,2022-09,2022,No,,,365,1,59.99
SUB_00113,STU_00088,United States,18-22,Undergraduate,Annual,59.99,2023-09-07,2024-09-06,2023-09,2023,No,,,365,2,59.99
SUB_00114,STU_00089,United States,18-22,PhD,Quarterly,19.99,2023-02-02,2023-05-03,2023-02,2023,No,,,90,1,19.99
SUB_00115,STU_00090,India,18-22,Undergraduate,Monthly,9.99,2023-08-11,2023-08-28,2023-08,2023,Yes,Found Better Alternative,2023-08-28,17,1,5.66
SUB_00116,STU_00091,India,18-22,Other,Monthly,9.99,2023-06-19,2023-07-18,2023-06,2023,Yes,Price Too High,2023-07-18,29,1,9.66
SUB_00117,STU_00092,India,18-22,Undergraduate,Monthly,9.99,2023-02-10,2023-03-12,2023-02,2023,No,,,30,1,9.99
SUB_00118,STU_00092,India,18-22,Undergraduate,Monthly,9.99,2023-03-12,2023-04-04,2023-03,2023,Yes,Price Too High,2023-04-04,23,2,7.66
SUB_00119,STU_00093,Australia,23-27,Undergraduate,Monthly,9.99,2023-12-31,2024-01-07,2023-12,2023,Yes,Found Better Alternative,2024-01-07,7,1,2.33
SUB_00120,STU_00094,India,28+,Other,Monthly,9.99,2024-06-12,2024-07-08,2024-06,2024,Yes,Not Useful Anymore,2024-07-08,26,1,8.66
SUB_00121,STU_00095,United States,28+,Undergraduate,Monthly,9.99,2023-04-22,2023-05-22,2023-04,2023,No,,,30,1,9.99
SUB_00122,STU_00096,United States,23-27,Undergraduate,Monthly,9.99,2024-02-19,2024-03-11,2024-02,2024,Yes,Not Useful Anymore,2024-03-11,21,1,6.99
SUB_00123,STU_00097,United Kingdom,23-27,Postgraduate,Monthly,9.99,2024-02-09,2024-03-10,2024-02,2024,No,,,30,1,9.99
SUB_00124,STU_00097,United Kingdom,23-27,Postgraduate,Monthly,9.99,2024-03-10,2024-04-09,2024-03,2024,No,,,30,2,9.99
SUB_00125,STU_00097,United Kingdom,23-27,Postgraduate,Monthly,9.99,2024-04-09,2024-04-13,2024-04,2024,Yes,Found Better Alternative,2024-04-13,4,3,1.33
SUB_00126,STU_00099,India,18-22,PhD,Annual,59.99,2022-10-08,2023-10-08,2022-10,2022,No,,,365,1,59.99
SUB_00127,STU_00099,India,18-22,PhD,Annual,59.99,2023-10-08,2024-10-07,2023-10,2023,No,,,365,2,59.99
SUB_00128,STU_00100,United States,28+,Undergraduate,Monthly,9.99,2022-12-19,2023-01-07,2022-12,2022,Yes,Other,2023-01-07,19,1,6.33
SUB_00129,STU_00101,United States,28+,Postgraduate,Annual,59.99,2023-10-18,2024-10-17,2023-10,2023,No,,,365,1,59.99
SUB_00130,STU_00102,India,23-27,Postgraduate,Monthly,9.99,2022-09-24,2022-10-24,2022-09,2022,No,,,30,1,9.99
SUB_00131,STU_00102,India,23-27,Postgraduate,Monthly,9.99,2022-10-24,2022-11-10,2022-10,2022,Yes,Price Too High,2022-11-10,17,2,5.66
SUB_00132,STU_00103,India,28+,Undergraduate,Quarterly,19.99,2023-05-26,2023-08-24,2023-05,2023,No,,,90,1,19.99
SUB_00133,STU_00104,India,23-27,PhD,Monthly,9.99,2023-05-26,2023-06-17,2023-05,2023,Yes,Not Useful Anymore,2023-06-17,22,1,7.33
SUB_00134,STU_00105,India,23-27,Undergraduate,Monthly,9.99,2022-12-22,2023-01-07,2022-12,2022,Yes,Found Better Alternative,2023-01-07,16,1,5.33
SUB_00135,STU_00106,United States,18-22,Undergraduate,Monthly,9.99,2024-04-17,2024-04-20,2024-04,2024,Yes,Found Better Alternative,2024-04-20,3,1,1.0
SUB_00136,STU_00107,India,23-27,Undergraduate,Quarterly,19.99,2023-02-28,2023-05-29,2023-02,2023,No,,,90,1,19.99
SUB_00137,STU_00108,India,23-27,Undergraduate,Quarterly,19.99,2023-12-28,2024-03-27,2023-12,2023,No,,,90,1,19.99
SUB_00138,STU_00109,India,23-27,Other,Monthly,9.99,2022-12-24,2023-01-23,2022-12,2022,No,,,30,1,9.99
SUB_00139,STU_00109,India,23-27,Other,Monthly,9.99,2023-01-23,2023-02-22,2023-01,2023,No,,,30,2,9.99
SUB_00140,STU_00109,India,23-27,Other,Monthly,9.99,2023-02-22,2023-03-24,2023-02,2023,No,,,30,3,9.99
SUB_00141,STU_00111,Canada,18-22,Undergraduate,Quarterly,19.99,2022-10-05,2023-01-03,2022-10,2022,No,,,90,1,19.99
SUB_00142,STU_00111,Canada,18-22,Undergraduate,Quarterly,19.99,2023-01-03,2023-04-03,2023-01,2023,No,,,90,2,19.99
SUB_00143,STU_00112,India,28+,Postgraduate,Monthly,9.99,2022-10-18,2022-11-17,2022-10,2022,No,,,30,1,9.99
SUB_00144,STU_00114,India,28+,Undergraduate,Quarterly,19.99,2022-07-25,2022-10-23,2022-07,2022,No,,,90,1,19.99
SUB_00145,STU_00115,United States,18-22,Undergraduate,Monthly,9.99,2024-01-28,2024-02-10,2024-01,2024,Yes,Found Better Alternative,2024-02-10,13,1,4.33
SUB_00146,STU_00116,India,23-27,Postgraduate,Annual,59.99,2023-03-10,2024-01-29,2023-03,2023,Yes,Not Useful Anymore,2024-01-29,325,1,53.42
SUB_00147,STU_00117,India,28+,Undergraduate,Quarterly,19.99,2023-11-23,2024-02-21,2023-11,2023,No,,,90,1,19.99
SUB_00148,STU_00118,United States,23-27,Postgraduate,Monthly,9.99,2024-01-08,2024-02-04,2024-01,2024,Yes,Found Better Alternative,2024-02-04,27,1,8.99
SUB_00149,STU_00119,India,18-22,Undergraduate,Quarterly,19.99,2023-01-18,2023-04-18,2023-01,2023,No,,,90,1,19.99
SUB_00150,STU_00120,United States,23-27,Undergraduate,Quarterly,19.99,2023-07-26,2023-08-25,2023-07,2023,Yes,Price Too High,2023-08-25,30,1,6.66
SUB_00151,STU_00121,Canada,18-22,Undergraduate,Monthly,9.99,2024-05-23,2024-06-09,2024-05,2024,Yes,Not Useful Anymore,2024-06-09,17,1,5.66
SUB_00152,STU_00122,United States,28+,Undergraduate,Quarterly,19.99,2024-01-27,2024-02-28,2024-01,2024,Yes,Technical Issues,2024-02-28,32,1,7.11
SUB_00153,STU_00123,United Kingdom,18-22,Undergraduate,Annual,59.99,2023-03-21,2023-07-17,2023-03,2023,Yes,Not Useful Anymore,2023-07-17,118,1,19.39
SUB_00154,STU_00124,Australia,18-22,Undergraduate,Monthly,9.99,2024-02-03,2024-02-25,2024-02,2024,Yes,Not Useful Anymore,2024-02-25,22,1,7.33
SUB_00155,STU_00125,United States,23-27,Undergraduate,Monthly,9.99,2023-03-16,2023-04-15,2023-03,2023,No,,,30,1,9.99
SUB_00156,STU_00126,United States,18-22,Undergraduate,Monthly,9.99,2023-05-06,2023-05-22,2023-05,2023,Yes,Not Useful Anymore,2023-05-22,16,1,5.33
SUB_00157,STU_00127,Others,28+,Postgraduate,Monthly,9.99,2024-02-12,2024-03-13,2024-02,2024,No,,,30,1,9.99
SUB_00158,STU_00127,Others,28+,Postgraduate,Monthly,9.99,2024-03-13,2024-03-16,2024-03,2024,Yes,Other,2024-03-16,3,2,1.0
SUB_00159,STU_00128,United States,23-27,Other,Quarterly,19.99,2022-12-06,2023-03-06,2022-12,2022,No,,,90,1,19.99
SUB_00160,STU_00129,United Kingdom,28+,Undergraduate,Monthly,9.99,2024-03-27,2024-04-14,2024-03,2024,Yes,Other,2024-04-14,18,1,5.99
SUB_00161,STU_00130,Canada,18-22,Postgraduate,Quarterly,19.99,2022-09-30,2022-12-29,2022-09,2022,No,,,90,1,19.99
SUB_00162,STU_00130,Canada,18-22,Postgraduate,Quarterly,19.99,2022-12-29,2023-03-29,2022-12,2022,No,,,90,2,19.99
SUB_00163,STU_00130,Canada,18-22,Postgraduate,Quarterly,19.99,2023-03-29,2023-06-27,2023-03,2023,No,,,90,3,19.99
SUB_00164,STU_00131,India,18-22,Undergraduate,Quarterly,19.99,2023-12-29,2024-02-11,2023-12,2023,Yes,Price Too High,2024-02-11,44,1,9.77
SUB_00165,STU_00132,United Kingdom,18-22,PhD,Annual,59.99,2023-12-07,2024-12-06,2023-12,2023,No,,,365,1,59.99
SUB_00166,STU_00134,India,18-22,PhD,Quarterly,19.99,2024-01-01,2024-03-31,2024-01,2024,No,,,90,1,19.99
SUB_00167,STU_00134,India,18-22,PhD,Quarterly,19.99,2024-03-31,2024-06-12,2024-03,2024,Yes,Found Better Alternative,2024-06-12,73,2,16.21
SUB_00168,STU_00135,United States,18-22,Undergraduate,Monthly,9.99,2024-04-05,2024-04-15,2024-04,2024,Yes,Found Better Alternative,2024-04-15,10,1,3.33
SUB_00169,STU_00136,India,28+,Undergraduate,Monthly,9.99,2022-09-05,2022-10-05,2022-09,2022,No,,,30,1,9.99
SUB_00170,STU_00136,India,28+,Undergraduate,Monthly,9.99,2022-10-05,2022-11-04,2022-10,2022,No,,,30,2,9.99
SUB_00171,STU_00136,India,28+,Undergraduate,Monthly,9.99,2022-11-04,2022-12-03,2022-11,2022,Yes,Price Too High,2022-12-03,29,3,9.66
SUB_00172,STU_00137,United States,23-27,Postgraduate,Monthly,9.99,2022-12-05,2023-01-04,2022-12,2022,No,,,30,1,9.99
SUB_00173,STU_00138,India,23-27,Undergraduate,Quarterly,19.99,2023-10-13,2024-01-11,2023-10,2023,No,,,90,1,19.99
SUB_00174,STU_00139,Canada,18-22,Postgraduate,Monthly,9.99,2022-11-04,2022-12-04,2022-11,2022,No,,,30,1,9.99
SUB_00175,STU_00140,India,18-22,Postgraduate,Annual,59.99,2023-11-30,2024-11-29,2023-11,2023,No,,,365,1,59.99
SUB_00176,STU_00141,United States,18-22,Postgraduate,Annual,59.99,2024-04-16,2025-04-16,2024-04,2024,No,,,365,1,59.99
SUB_00177,STU_00142,India,28+,PhD,Monthly,9.99,2024-01-06,2024-01-26,2024-01,2024,Yes,Found Better Alternative,2024-01-26,20,1,6.66
SUB_00178,STU_00143,India,23-27,Undergraduate,Quarterly,19.99,2023-07-26,2023-09-19,2023-07,2023,Yes,Price Too High,2023-09-19,55,1,12.22
SUB_00179,STU_00144,India,23-27,PhD,Annual,59.99,2023-07-20,2024-07-19,2023-07,2023,No,,,365,1,59.99
SUB_00180,STU_00145,India,28+,Undergraduate,Annual,59.99,2022-08-03,2023-04-20,2022-08,2022,Yes,Other,2023-04-20,260,1,42.73
SUB_00181,STU_00146,United States,23-27,Postgraduate,Annual,59.99,2022-09-22,2023-09-22,2022-09,2022,No,,,365,1,59.99
SUB_00182,STU_00148,Canada,28+,PhD,Quarterly,19.99,2022-08-27,2022-11-25,2022-08,2022,No,,,90,1,19.99
