Student_ID,Country,Age_Group,Education_Level,Acquisition_Source,Registration_Date,Registration_Month,Registration_Year,Month_Label,Is_Active
STU_00044,India,18-22,Postgraduate,Paid Ad,2023-01-31,1,2023,2023-01,0
STU_00045,India,23-27,Postgraduate,Organic Search,2022-08-14,8,2022,2022-08,1
STU_00046,India,28+,PhD,Social Media,2023-11-01,11,2023,2023-11,1
STU_00047,India,23-27,Undergraduate,Email Campaign,2022-11-09,11,2022,2022-11,0
STU_00048,India,28+,Undergraduate,Referral,2023-11-24,11,2023,2023-11,0
STU_00049,India,28+,Postgraduate,Organic Search,2022-10-16,10,2022,2022-10,1
STU_00050,United States,18-22,Postgraduate,Organic Search,2023-01-02,1,2023,2023-01,1
STU_00051,India,18-22,Undergraduate,Organic Search,2022-07-23,7,2022,2022-07,0
STU_00052,Others,18-22,Undergraduate,Referral,2024-03-14,3,2024,2024-03,1
STU_00053,India,28+,Other,Paid Ad,2022-09-23,9,2022,2022-09,0
STU_00054,United States,18-22,Undergraduate,Paid Ad,2024-01-18,1,2024,2024-01,0
STU_00055,Canada,18-22,Undergraduate,Organic Search,2022-07-11,7,2022,2022-07,0
STU_00056,Others,23-27,Other,Organic Search,2023-07-22,7,2023,2023-07,1
STU_00057,Canada,18-22,Postgraduate,Organic Search,2022-11-29,11,2022,2022-11,0
STU_00058,Canada,28+,Undergraduate,Referral,2024-04-16,4,2024,2024-04,1
STU_00059,Canada,18-22,PhD,Paid Ad,2022-07-10,7,2022,2022-07,1
STU_00060,India,23-27,Undergraduate,Organic Search,2023-01-20,1,2023,2023-01,1
STU_00061,India,23-27,Postgraduate,Social Media,2023-03-13,3,2023,2023-03,1
STU_00062,India,28+,Undergraduate,Email Campaign,2022-06-29,6,2022,2022-06,1
STU_00063,United States,18-22,Postgraduate,Paid Ad,2022-09-20,9,2022,2022-09,0
STU_00064,India,23-27,Undergraduate,Referral,2022-09-27,9,2022,2022-09,1
STU_00065,United States,28+,Postgraduate,Organic Search,2023-12-04,12,2023,2023-12,1
STU_00066,Australia,23-27,Postgraduate,Organic Search,2024-04-11,4,2024,2024-04,0
STU_00067,India,18-22,Undergraduate,Organic Search,2023-11-02,11,2023,2023-11,1
STU_00068,United States,18-22,Postgraduate,Organic Search,2023-08-05,8,2023,2023-08,1
STU_00069,United States,18-22,Undergraduate,Paid Ad,2023-07-21,7,2023,2023-07,1
STU_00070,India,18-22,Postgraduate,Paid Ad,2024-04-01,4,2024,2024-04,0
STU_00071,India,18-22,Postgraduate,Referral,2024-06-23,6,2024,2024-06,1
STU_00072,United States,18-22,Undergraduate,Organic Search,2023-01-27,1,2023,2023-01,1
STU_00073,United States,23-27,Undergraduate,Social Media,2023-09-30,9,2023,2023-09,1
STU_00074,United States,23-27,Undergraduate,Referral,2024-06-05,6,2024,2024-06,1
STU_00075,United Kingdom,18-22,PhD,Referral,2022-09-18,9,2022,2022-09,1
STU_00076,India,28+,Undergraduate,Social Media,2023-12-23,12,2023,2023-12,1
STU_00077,United States,28+,PhD,Referral,2023-12-25,12,2023,2023-12,1
STU_00078,India,28+,Undergraduate,Organic Search,2023-10-30,10,2023,2023-10,0
STU_00079,India,18-22,Postgraduate,Referral,2023-09-04,9,2023,2023-09,1
STU_00080,India,18-22,Postgraduate,Organic Search,2024-03-03,3,2024,2024-03,1
STU_00081,India,18-22,Undergraduate,Organic Search,2023-12-06,12,2023,2023-12,1
STU_00082,India,23-27,Undergraduate,Organic Search,2023-07-30,7,2023,2023-07,1
STU_00083,Australia,18-22,PhD,Paid Ad,2024-01-20,1,2024,2024-01,1
STU_00084,India,18-22,PhD,Social Media,2023-05-27,5,2023,2023-05,1
STU_00085,United States,23-27,Undergraduate,Organic Search,2024-06-22,6,2024,2024-06,1
STU_00086,India,23-27,Postgraduate,Referral,2022-06-30,6,2022,2022-06,0
STU_00087,Others,23-27,Other,Paid Ad,2022-10-09,10,2022,2022-10,0
STU_00088,United States,18-22,Undergraduate,Organic Search,2022-08-25,8,2022,2022-08,1
STU_00089,United States,18-22,PhD,Organic Search,2023-01-03,1,2023,2023-01,0
STU_00090,India,18-22,Undergraduate,Paid Ad,2023-08-06,8,2023,2023-08,0
STU_00091,India,18-22,Other,Organic Search,2023-05-25,5,2023,2023-05,1
STU_00092,India,18-22,Undergraduate,Organic Search,2023-02-09,2,2023,2023-02,0
STU_00093,Australia,23-27,Undergraduate,Paid Ad,2023-12-30,12,2023,2023-12,1
STU_00094,India,28+,Other,Organic Search,2024-06-05,6,2024,2024-06,1
STU_00095,United States,28+,Undergraduate,Email Campaign,2023-04-16,4,2023,2023-04,1
STU_00096,United States,23-27,Undergraduate,Referral,2024-01-28,1,2024,2024-01,0
STU_00097,United Kingdom,23-27,Postgraduate,Organic Search,2024-02-05,2,2024,2024-02,1
STU_00098,India,23-27,Undergraduate,Social Media,2024-04-08,4,2024,2024-04,0
STU_00099,India,18-22,PhD,Paid Ad,2022-09-17,9,2022,2022-09,1
STU_00100,United States,28+,Undergraduate,Social Media,2022-11-28,11,2022,2022-11,1
STU_00101,United States,28+,Postgraduate,Organic Search,2023-10-09,10,2023,2023-10,1
STU_00102,India,23-27,Postgraduate,Paid Ad,2022-08-28,8,2022,2022-08,0
STU_00103,India,28+,Undergraduate,Organic Search,2023-05-11,5,2023,2023-05,0
STU_00104,India,23-27,PhD,Paid Ad,2023-05-15,5,2023,2023-05,1
STU_00105,India,23-27,Undergraduate,Referral,2022-12-13,12,2022,2022-12,0
STU_00106,United States,18-22,Undergraduate,Organic Search,2024-03-23,3,2024,2024-03,1
STU_00107,India,23-27,Undergraduate,Paid Ad,2023-02-05,2,2023,2023-02,1
STU_00108,India,23-27,Undergraduate,Organic Search,2023-12-16,12,2023,2023-12,1
STU_00109,India,23-27,Other,Referral,2022-12-15,12,2022,2022-12,1
STU_00110,United States,23-27,Other,Paid Ad,2024-06-26,6,2024,2024-06,1
STU_00111,Canada,18-22,Undergraduate,Organic Search,2022-09-11,9,2022,2022-09,0
STU_00112,India,28+,Postgraduate,Referral,2022-10-08,10,2022,2022-10,1
STU_00113,India,18-22,Undergraduate,Paid Ad,2023-10-16,10,2023,2023-10,1
STU_00114,India,28+,Undergraduate,Organic Search,2022-07-23,7,2022,2022-07,1
STU_00115,United States,18-22,Undergraduate,Paid Ad,2024-01-12,1,2024,2024-01,1
STU_00116,India,23-27,Postgraduate,Referral,2023-02-10,2,2023,2023-02,1
STU_00117,India,28+,Undergraduate,Paid Ad,2023-11-18,11,2023,2023-11,1
STU_00118,United States,23-27,Postgraduate,Email Campaign,2024-01-04,1,2024,2024-01,1
STU_00119,India,18-22,Undergraduate,Paid Ad,2023-01-03,1,2023,2023-01,1
STU_00120,United States,23-27,Undergraduate,Organic Search,2023-07-24,7,2023,2023-07,1
STU_00121,Canada,18-22,Undergraduate,Organic Search,2024-05-20,5,2024,2024-05,0
STU_00122,United States,28+,Undergraduate,Paid Ad,2024-01-25,1,2024,2024-01,1
STU_00123,United Kingdom,18-22,Undergraduate,Organic Search,2023-02-28,2,2023,2023-02,0
STU_00124,Australia,18-22,Undergraduate,Organic Search,2024-01-04,1,2024,2024-01,1
STU_00125,United States,23-27,Undergraduate,Organic Search,2023-03-06,3,2023,2023-03,1
STU_00126,United States,18-22,Undergraduate,Referral,2023-04-27,4,2023,2023-04,0
STU_00127,Others,28+,Postgraduate,Organic Search,2024-01-23,1,2024,2024-01,1
STU_00128,United States,23-27,Other,Organic Search,2022-11-27,11,2022,2022-11,0
STU_00129,United Kingdom,28+,Undergraduate,Paid Ad,2024-03-12,3,2024,2024-03,1
STU_00130,Canada,18-22,Postgraduate,Organic Search,2022-09-16,9,2022,2022-09,0
STU_00131,India,18-22,Undergraduate,Organic Search,2023-12-16,12,2023,2023-12,0
STU_00132,United Kingdom,18-22,PhD,Paid Ad,2023-11-09,11,2023,2023-11,1
STU_00133,India,23-27,Postgraduate,Referral,2023-11-13,11,2023,2023-11,1
STU_00134,India,18-22,PhD,Paid Ad,2023-12-15,12,2023,2023-12,1
STU_00135,United States,18-22,Undergraduate,Paid Ad,2024-03-07,3,2024,2024-03,1
STU_00136,India,28+,Undergraduate,Email Campaign,2022-09-04,9,2022,2022-09,0
STU_00137,United States,23-27,Postgraduate,Organic Search,2022-11-05,11,2022,2022-11,0
STU_00138,India,23-27,Undergraduate,Email Campaign,2023-09-27,9,2023,2023-09,1
STU_00139,Canada,18-22,Postgraduate,Paid Ad,2022-10-18,10,2022,2022-10,0
STU_00140,India,18-22,Postgraduate,Social Media,2023-11-02,11,2023,2023-11,1
STU_00141,United States,18-22,Postgraduate,Organic Search,2024-04-06,4,2024,2024-04,1
STU_00142,India,28+,PhD,Email Campaign,2023-12-09,12,2023,2023-12,1
STU_00143,India,23-27,Undergraduate,Referral,2023-06-28,6,2023,2023-06,0
STU_00144,India,23-27,PhD,Email Campaign,2023-06-26,6,2023,2023-06,1
STU_00145,India,28+,Undergraduate,Organic Search,2022-07-08,7,2022,2022-07,0
STU_00146,United States,23-27,Postgraduate,Paid Ad,2022-09-11,9,2022,2022-09,0
STU_00147,India,23-27,Undergraduate,Referral,2022-11-06,11,2022,2022-11,1
STU_00148,Canada,28+,PhD,Paid Ad,2022-08-22,8,2022,2022-08,1
STU_00149,Canada,23-27,Postgraduate,Referral,2024-06-05,6,2024,2024-06,1
STU_00150,Australia,28+,Postgraduate,Paid Ad,2024-05-01,5,2024,2024-05,1
STU_00151,United States,18-22,Undergraduate,Organic Search,2024-03-10,3,2024,2024-03,1
STU_00152,United Kingdom,18-22,Undergraduate,Organic Search,2023-04-29,4,2023,2023-04,1
STU_00153,United States,18-22,Undergraduate,Referral,2024-01-01,1,2024,2024-01,1
STU_00154,India,28+,Undergraduate,Paid Ad,2024-04-30,4,2024,2024-04,1
STU_00155,United States,28+,Undergraduate,Organic Search,2023-02-17,2,2023,2023-02,1
STU_00156,India,18-22,Postgraduate,Referral,2022-08-15,8,2022,2022-08,1
STU_00157,United States,18-22,Other,Social Media,2023-02-12,2,2023,2023-02,1
STU_00158,United States,23-27,Other,Organic Search,2023-06-26,6,2023,2023-06,0
STU_00159,India,18-22,PhD,Referral,2024-04-05,4,2024,2024-04,0
STU_00160,United States,28+,Other,Referral,2024-02-11,2,2024,2024-02,1
STU_00161,India,18-22,Undergraduate,Referral,2023-05-27,5,2023,2023-05,0
STU_00162,Canada,23-27,Other,Referral,2024-04-28,4,2024,2024-04,1
STU_00163,India,18-22,Undergraduate,Social Media,2023-08-26,8,2023,2023-08,1
STU_00164,India,18-22,Postgraduate,Email Campaign,2023-07-31,7,2023,2023-07,1
STU_00165,Canada,18-22,PhD,Paid Ad,2023-03-07,3,2023,2023-03,0
STU_00166,United Kingdom,23-27,Undergraduate,Referral,2023-05-13,5,2023,2023-05,1
STU_00167,United States,28+,Other,Social Media,2024-04-23,4,2024,2024-04,1
STU_00168,India,23-27,Undergraduate,Referral,2023-07-10,7,2023,2023-07,1
STU_00169,India,23-27,Undergraduate,Referral,2024-01-20,1,2024,2024-01,1
STU_00170,Canada,23-27,Other,Organic Search,2024-02-25,2,2024,2024-02,1
STU_00171,Australia,18-22,Undergraduate,Organic Search,2023-09-19,9,2023,2023-09,0
STU_00172,Others,18-22,Undergraduate,Paid Ad,2023-04-08,4,2023,2023-04,1
STU_00173,United States,23-27,Other,Paid Ad,2023-06-15,6,2023,2023-06,0
STU_00174,Canada,23-27,PhD,Referral,2022-11-06,11,2022,2022-11,0
STU_00175,India,18-22,Undergraduate,Email Campaign,2023-03-14,3,2023,2023-03,0
STU_00176,Others,18-22,Other,Referral,2022-09-10,9,2022,2022-09,1
STU_00177,India,18-22,PhD,Paid Ad,2023-03-10,3,2023,2023-03,0
STU_00178,United States,28+,Undergraduate,Organic Search,2024-03-19,3,2024,2024-03,0
STU_00179,India,28+,Postgraduate,Paid Ad,2023-12-31,12,2023,2023-12,0
STU_00180,India,18-22,Other,Organic Search,2023-01-25,1,2023,2023-01,0
STU_00181,Others,23-27,Postgraduate,Organic Search,2022-10-27,10,2022,2022-10,0
STU_00182,India,23-27,Undergraduate,Organic Search,2022-10-13,10,2022,2022-10,1
STU_00183,India,18-22,Undergraduate,Organic Search,2022-07-24,7,2022,2022-07,1
STU_00184,United States,18-22,Postgraduate,Email Campaign,2023-06-06,6,2023,2023-06,1
STU_00185,United States,23-27,Other,Organic Search,2024-04-05,4,2024,2024-04,1
STU_00186,India,18-22,Postgraduate,Paid Ad,2023-07-17,7,2023,2023-07,0
STU_00187,United States,18-22,Undergraduate,Referral,2023-04-26,4,2023,2023-04,1
STU_00188,India,23-27,Undergraduate,Paid Ad,2023-04-29,4,2023,2023-04,1
STU_00189,India,23-27,PhD,Paid Ad,2024-05-19,5,2024,2024-05,0
STU_00190,United States,18-22,Undergraduate,Paid Ad,2023-08-15,8,2023,2023-08,1
STU_00191,India,18-22,Undergraduate,Email Campaign,2022-09-06,9,2022,2022-09,0
STU_00192,India,28+,Undergraduate,Organic Search,2023-09-29,9,2023,2023-09,1
STU_00193,United States,23-27,Postgraduate,Organic Search,2022-10-12,10,2022,2022-10,1
STU_00194,Canada,28+,Undergraduate,Social Media,2023-05-29,5,2023,2023-05,1
STU_00195,United States,18-22,Postgraduate,Organic Search,2023-03-22,3,2023,2023-03,0
STU_00196,Canada,18-22,Postgraduate,Organic Search,2023-01-16,1,2023,2023-01,1
STU_00197,United Kingdom,28+,Other,Social Media,2023-01-18,1,2023,2023-01,0
STU_00198,United States,23-27,Postgraduate,Referral,2024-03-20,3,2024,2024-03,1
STU_00199,United States,18-22,Undergraduate,Organic Search,2023-03-07,3,2023,2023-03,0
STU_00200,United States,18-22,Postgraduate,Email Campaign,2024-01-01,1,2024,2024-01,1
STU_00201,India,18-22,Undergraduate,Paid Ad,2023-11-26,11,2023,2023-11,1
STU_00202,United States,28+,Undergraduate,Referral,2024-01-03,1,2024,2024-01,1
STU_00203,India,23-27,Undergraduate,Paid Ad,2022-08-23,8,2022,2022-08,1
STU_00204,India,18-22,Undergraduate,Referral,2023-11-07,11,2023,2023-11,1
STU_00205,India,18-22,Other,Organic Search,2024-04-14,4,2024,2024-04,1
STU_00206,United Kingdom,23-27,Undergraduate,Organic Search,2023-01-03,1,2023,2023-01,1
STU_00207,India,18-22,Postgraduate,Paid Ad,2023-08-15,8,2023,2023-08,0
STU_00208,India,28+,Undergraduate,Organic Search,2023-05-29,5,2023,2023-05,0
STU_00209,United States,23-27,Postgraduate,Paid Ad,2023-04-17,4,2023,2023-04,1
STU_00210,Others,18-22,Other,Paid Ad,2022-06-22,6,2022,2022-06,0
STU_00211,India,28+,Undergraduate,Paid Ad,2023-06-06,6,2023,2023-06,1
STU_00212,Canada,23-27,Undergraduate,Referral,2023-07-11,7,2023,2023-07,1
STU_00213,India,23-27,Other,Organic Search,2024-03-10,3,2024,2024-03,1
STU_00214,United Kingdom,18-22,Undergraduate,Organic Search,2024-03-22,3,2024,2024-03,1
STU_00215,India,28+,Postgraduate,Paid Ad,2024-04-02,4,2024,2024-04,1
STU_00216,India,28+,Postgraduate,Referral,2024-01-15,1,2024,2024-01,1
STU_00217,India,18-22,Undergraduate,Referral,2024-03-04,3,2024,2024-03,0
STU_00218,India,23-27,Undergraduate,Paid Ad,2024-01-27,1,2024,2024-01,1
STU_00219,India,28+,PhD,Referral,2023-03-21,3,2023,2023-03,1
STU_00220,United States,28+,Postgraduate,Organic Search,2023-09-17,9,2023,2023-09,0
STU_00221,United States,18-22,Undergraduate,Organic Search,2024-01-07,1,2024,2024-01,1
STU_00222,United Kingdom,28+,Other,Organic Search,2022-09-14,9,2022,2022-09,0
STU_00223,India,18-22,Undergraduate,Paid Ad,2022-07-11,7,2022,2022-07,1
STU_00224,Australia,18-22,Postgraduate,Referral,2023-06-17,6,2023,2023-06,1
STU_00225,United States,18-22,Undergraduate,Referral,2024-03-08,3,2024,2024-03,1
STU_00226,Canada,28+,Postgraduate,Organic Search,2024-06-11,6,2024,2024-06,1
STU_00227,India,18-22,Other,Referral,2024-04-10,4,2024,2024-04,1
STU_00228,United States,18-22,Postgraduate,Referral,2024-01-31,1,2024,2024-01,1
STU_00229,United States,28+,Postgraduate,Referral,2022-10-09,10,2022,2022-10,1
STU_00230,United States,23-27,Undergraduate,Organic Search,2024-03-23,3,2024,2024-03,0
STU_00231,Australia,23-27,Undergraduate,Organic Search,2023-05-16,5,2023,2023-05,1
STU_00232,United States,23-27,Postgraduate,Paid Ad,2022-09-12,9,2022,2022-09,0
STU_00233,India,18-22,Undergraduate,Social Media,2024-02-23,2,2024,2024-02,0
STU_00234,United States,18-22,Undergraduate,Referral,2022-11-17,11,2022,2022-11,0
STU_00235,India,23-27,Undergraduate,Paid Ad,2024-02-16,2,2024,2024-02,1
STU_00236,Australia,18-22,Postgraduate,Paid Ad,2023-09-24,9,2023,2023-09,1
STU_00237,United Kingdom,23-27,Undergraduate,Organic Search,2023-03-16,3,2023,2023-03,1
STU_00238,India,18-22,Postgraduate,Social Media,2024-02-10,2,2024,2024-02,1
STU_00239,United States,23-27,Undergraduate,Organic Search,2022-09-14,9,2022,2022-09,1
STU_00240,Australia,18-22,Undergraduate,Email Campaign,2023-09-04,9,2023,2023-09,1
STU_00241,Canada,28+,Undergraduate,Paid Ad,2023-09-05,9,2023,2023-09,1
STU_00242,Others,18-22,Undergraduate,Email Campaign,2023-07-01,7,2023,2023-07,0
STU_00243,India,18-22,Undergraduate,Social Media,2024-03-27,3,2024,2024-03,1
STU_00244,United Kingdom,23-27,Postgraduate,Social Media,2022-10-21,10,2022,2022-10,1
STU_00245,Canada,23-27,Postgraduate,Paid Ad,2023-01-07,1,2023,2023-01,1
STU_00246,India,18-22,Undergraduate,Referral,2023-03-23,3,2023,2023-03,0
STU_00247,India,28+,Postgraduate,Organic Search,2022-08-04,8,2022,2022-08,1
STU_00248,United States,18-22,Undergraduate,Paid Ad,2023-02-03,2,2023,2023-02,0
STU_00249,United States,18-22,Other,Organic Search,2022-12-09,12,2022,2022-12,1
STU_00250,United Kingdom,23-27,Undergraduate,Social Media,2023-11-02,11,2023,2023-11,1
STU_00251,Others,18-22,Undergraduate,Referral,2023-07-02,7,2023,2023-07,1
STU_00252,United States,18-22,Postgraduate,Referral,2024-06-20,6,2024,2024-06,1
STU_00253,United States,28+,Undergraduate,Referral,2023-05-27,5,2023,2023-05,1
STU_00254,United States,18-22,Undergraduate,Referral,2024-05-13,5,2024,2024-05,0
STU_00255,India,18-22,Undergraduate,Organic Search,2022-07-08,7,2022,2022-07,0
STU_00256,India,28+,Undergraduate,Organic Search,2023-11-10,11,2023,2023-11,1
STU_00257,India,23-27,PhD,Organic Search,2023-03-20,3,2023,2023-03,1
STU_00258,India,18-22,Undergraduate,Email Campaign,2023-06-12,6,2023,2023-06,1
STU_00259,United States,23-27,Other,Paid Ad,2022-12-09,12,2022,2022-12,0
STU_00260,India,18-22,Other,Organic Search,2024-06-14,6,2024,2024-06,1
STU_00261,India,23-27,Undergraduate,Referral,2022-09-14,9,2022,2022-09,1
STU_00262,India,18-22,Postgraduate,Social Media,2024-05-07,5,2024,2024-05,1
STU_00263,India,28+,Other,Organic Search,2023-08-20,8,2023,2023-08,1
STU_00264,United States,23-27,Undergraduate,Organic Search,2023-06-08,6,2023,2023-06,0
STU_00265,United Kingdom,18-22,Undergraduate,Referral,2024-04-25,4,2024,2024-04,1
STU_00266,Australia,18-22,Undergraduate,Paid Ad,2023-06-28,6,2023,2023-06,1
STU_00267,United Kingdom,23-27,Postgraduate,Paid Ad,2023-08-29,8,2023,2023-08,1
STU_00268,Others,18-22,Undergraduate,Paid Ad,2023-02-11,2,2023,2023-02,0
STU_00269,India,18-22,Undergraduate,Email Campaign,2022-09-29,9,2022,2022-09,1
STU_00270,India,18-22,Undergraduate,Organic Search,2023-10-16,10,2023,2023-10,1
STU_00271,United Kingdom,28+,Other,Referral,2022-08-29,8,2022,2022-08,0
STU_00272,United States,28+,PhD,Referral,2023-12-16,12,2023,2023-12,0
STU_00273,India,18-22,Undergraduate,Email Campaign,2024-03-15,3,2024,2024-03,0
STU_00274,United Kingdom,18-22,Postgraduate,Paid Ad,2023-01-29,1,2023,2023-01,0
STU_00275,India,28+,Undergraduate,Paid Ad,2023-12-17,12,2023,2023-12,1
STU_00276,United States,23-27,PhD,Organic Search,2023-10-04,10,2023,2023-10,0
STU_00277,India,23-27,Postgraduate,Organic Search,2024-03-19,3,2024,2024-03,0
STU_00278,United States,18-22,Other,Paid Ad,2023-12-17,12,2023,2023-12,0
STU_00279,Canada,23-27,Undergraduate,Organic Search,2022-07-27,7,2022,2022-07,0
STU_00280,India,28+,PhD,Social Media,2023-01-17,1,2023,2023-01,1
STU_00281,Others,18-22,Postgraduate,Referral,2024-03-12,3,2024,2024-03,1
STU_00282,India,28+,Undergraduate,Referral,2024-03-18,3,2024,2024-03,1
STU_00283,India,28+,Undergraduate,Social Media,2024-02-10,2,2024,2024-02,1
STU_00284,United Kingdom,18-22,Undergraduate,Paid Ad,2024-03-18,3,2024,2024-03,1
STU_00285,United States,23-27,Undergraduate,Email Campaign,2022-07-02,7,2022,2022-07,1
STU_00286,India,23-27,Postgraduate,Organic Search,2024-05-02,5,2024,2024-05,1
STU_00287,India,23-27,Undergraduate,Referral,2023-09-19,9,2023,2023-09,1
STU_00288,Others,18-22,Undergraduate,Paid Ad,2023-05-20,5,2023,2023-05,1
STU_00289,India,18-22,Undergraduate,Organic Search,2023-09-21,9,2023,2023-09,0
STU_00290,India,28+,Other,Social Media,2024-02-21,2,2024,2024-02,0
STU_00291,India,23-27,Undergraduate,Paid Ad,2024-06-08,6,2024,2024-06,1
STU_00292,United States,18-22,Undergraduate,Paid Ad,2023-04-12,4,2023,2023-04,1
STU_00293,India,18-22,Undergraduate,Social Media,2024-01-19,1,2024,2024-01,1
STU_00294,India,18-22,Undergraduate,Organic Search,2023-09-25,9,2023,2023-09,1
STU_00295,United Kingdom,18-22,Undergraduate,Paid Ad,2023-06-10,6,2023,2023-06,1
STU_00296,India,18-22,Undergraduate,Paid Ad,2023-12-19,12,2023,2023-12,0
STU_00297,United States,18-22,Other,Paid Ad,2024-02-29,2,2024,2024-02,0
STU_00298,United States,18-22,Undergraduate,Referral,2023-05-14,5,2023,2023-05,1
STU_00299,India,18-22,Undergraduate,Paid Ad,2022-07-12,7,2022,2022-07,1
STU_00300,Canada,18-22,Other,Organic Search,2024-02-11,2,2024,2024-02,1
STU_00301,United States,18-22,Undergraduate,Social Media,2024-02-22,2,2024,2024-02,1
STU_00302,United States,23-27,Undergraduate,Organic Search,2024-05-26,5,2024,2024-05,1
STU_00303,United States,23-27,Postgraduate,Referral,2023-08-01,8,2023,2023-08,1
STU_00304,India,23-27,Other,Paid Ad,2023-09-29,9,2023,2023-09,1
STU_00305,United States,18-22,Postgraduate,Referral,2022-07-23,7,2022,2022-07,0
STU_00306,United Kingdom,18-22,Postgraduate,Referral,2022-10-30,10,2022,2022-10,1
STU_00307,India,18-22,Postgraduate,Paid Ad,2023-08-26,8,2023,2023-08,0
STU_00308,Canada,23-27,Undergraduate,Organic Search,2023-09-26,9,2023,2023-09,1
STU_00309,Others,23-27,Undergraduate,Email Campaign,2023-04-29,4,2023,2023-04,1
STU_00310,India,18-22,Postgraduate,Referral,2023-11-28,11,2023,2023-11,1
STU_00311,India,23-27,Other,Organic Search,2024-05-10,5,2024,2024-05,1
STU_00312,United Kingdom,23-27,Postgraduate,Paid Ad,2023-04-01,4,2023,2023-04,1
STU_00313,Australia,23-27,Undergraduate,Organic Search,2023-12-26,12,2023,2023-12,1
STU_00314,Canada,18-22,Undergraduate,Referral,2023-06-24,6,2023,2023-06,1
STU_00315,India,23-27,Undergraduate,Paid Ad,2022-07-14,7,2022,2022-07,1
STU_00316,India,28+,Undergraduate,Paid Ad,2023-10-04,10,2023,2023-10,1
STU_00317,United States,23-27,Undergraduate,Referral,2022-09-20,9,2022,2022-09,1
